Key,Id,Korean (South Korea)(ko-KR),English(en),Chinese (Simplified)(zh-CN),Chinese (Traditional)(zh-TW),Hindi (India)(hi-IN),Japanese (Japan)(ja-JP)
"1 Elevator",3302352692961280,"1번 엘리베이터","ELEVATOR 1","1号电梯","1號電梯","पहला लिफ्ट","1番エレベーター"
"1 Floor",2531741418905600,"1층","1 FLOOR","一层","一層","पहली मंजिल","1階"
"2 Elevator",3302733791617024,"2번 엘리베이터","ELEVATOR 2","2号电梯","2號電梯","दूसरा लिफ्ट","2番エレベーター"
"2 Floor",2531912441651200,"2층","2 FLOOR","二层","二層","दूसरी मंजिल","2階"
"3 Floor",2531962068656128,"3층","3 FLOOR","三层","三層","तीसरी मंजिल","3階"
"4 Floor",2532002828902400,"4층","4 FLOOR","四层","四層","चौथी मंजिल","4階"
"405_1",3291320201240576,"타카야마 히로시 : 안녕하세요, 리셉션 타카야마 히로시 입니다. 어떻게 도와드릴까요?","Hiroshi Takayama: Hello, this is Hiroshi Takayama at the reception. How may I assist you?","高山广志：您好，接待员高山广志。请问我怎么帮助您？","高山廣志：您好，接待員高山廣志。請問我怎麼幫助您？","ताकायामा हिरोशी: नमस्ते, मैं रिसेप्शन से ताकायामा हिरोशी बोल रहा हूँ। मैं आपकी कैसे सहायता कर सकता हूँ?","高山博志 : こんばんは、レセプションの高山博志です。どうされましたか。"
"405_2",2378343839162368,"405호 투숙객 : 안녕하세요, 저는 405호 투숙객 입니다.","Room 405: Hello, I am a guest in room 405.","405号客人：您好，我是405号房的客人。","405號客人：您好，我是405號房的客人。","405 नंबर के कमरे के अतिथि: नमस्ते, मैं 405 नंबर कमरे का अतिथि हूँ।","405号ゲスト: こんばんは、私は405号ゲストです。"
"405_3",2378452152868864,"405호 투숙객 : 현재 전기가 끊겨 불이 들어오지 않습니다. 조치 부탁드립니다.","Room 405: The electricity is currently out, and the lights aren't working. Please take care of it.","405号客人：您好，目前电力中断，灯光无法打开。请您采取措施。","405號客人：您好，目前電力中斷，燈光無法打開。請您採取措施。","405 नंबर के कमरे के अतिथि: इस समय बिजली चली गई है, और लाइट्स नहीं जल रही हैं। कृपया इसे ठीक करवाएं।","405号ゲスト : 今、電気が切れて電灯がつきません。措置をお願いします。"
"405_4",2378536303190016,"타카야마 히로시 : 아.. 죄송합니다. 지금 바로 조치해드리겠습니다.","Hiroshi Takayama: Oh, I apologize. I will take care of it right away.""","高山广志：啊……对不起。我马上来处理。","高山廣志：啊……對不起。我馬上來處理。","ताकायामा हिरोशी: आह... माफ़ कीजिएगा। मैं तुरंत ही इसे ठीक करवाता हूँ।","高山博志 : あ…申し訳ございません。今すぐ対応させていただきます。"
"Acquire",7175087093440512,"획득","ACQUIRE","获得","獲得","प्राप्त करना","獲得"
"B1 Floor",2531671105593344,"지하 1층","B1","地下1层","地下1層","भूतल","地下1階"
"Back",2535112133566464,"뒤로가기","BACK","返回","返回","पीछे जाएँ","戻る"
"Beer",14863939522846720,"맥주","Beer","啤酒","啤酒","बियर","ビール"
"Beer.Description",17372012505718784,"일본에서 제일 인기있는 맥주 브랜드 중 하나. 객실에 맥주를 채워 넣어야 할 때 사용한다.","One of the most popular beer brands in Japan. It is used when restocking beer in the guest rooms.","在日本最受欢迎的啤酒品牌之一。在需要为房间补充啤酒时使用。","在日本最受歡迎的啤酒品牌之一。在需要為房間補充啤酒時使用。","यह जापान में सबसे लोकप्रिय बीयर ब्रांडों में से एक है। इसे कमरे में बीयर भरने के लिए इस्तेमाल किया जाता है।","日本で一番人気のあるビールブランドの一つ。 客室にビールを補充しなければならない時に使う。"
"Button",9094382761271296,"버튼","Button","按钮","按鈕","बटन","ボタン"
"CCTV",7132197491302400,"CCTV","CCTV","闭路电视","閉路電視","CCTV","CCTV"
"Clock",7130219746942976,"시계","CLOCK","钟表","鐘表","घड़ी","時計"
"Close",2532414004912128,"닫기","CLOSE","关闭","關閉","बंद करें","閉じる"
"Configure",17405456346505216,"구성","Configure","组成","組成","संविधान","構成"
"Day",7144920593719296,"일차","Day","天","天","दिन","日目"
"Disable Screen",4997987813613568,"화면 끄기","Turn off this screen","关闭屏幕","關閉螢幕","स्क्रीन बंद करें","画面オフ"
"Distribution box",17404987603673088,"배전함","Distribution box","配电箱","配電箱","वितरण पैनल","配電箱"
"Door",7134591633580032,"문","DOOR","门","門","दरवाज़ा","ドア"
"Down",2531310215094272,"내려가기","DOWN","下去","下去","नीचे जाएँ","下りる"
"Drawer",7132830478884864,"서랍","DRAWER","抽屉","抽屜","दराज"," 引き出し"
"Drop",15106694211756032,"놓기","Drop","放置","放置","रखना","置く"
"Electric Circuit",17405589196890112,"전기회로","Electric Circuit","电路","電路","इलेक्ट्रिकल सर्किट","電気回路"
"Electronic Lock",10083672353923072,"잠금 장치","Lock","锁定装置","鎖定裝置","लॉकिंग डिवाइस","施錠装置"
"Enable Screen",4997983015329792,"화면 켜기","Turn on this screen","打开屏幕","打開螢幕","स्क्रीन चालू करें","画面オン"
"Examine",2512802819334144,"확인","EXAMINE","检查","檢查","जाँचना","確認"
"Faucet",17669741716377600,"수도꼭지","Faucet","水龙头","水龍頭","नल","蛇口"
"Flashlight",9082900614995968,"손전등","Flashlight","手电筒","手電筒","टॉर्च","フラッシュライト"
"Flashlight.Description",9088008815894528,"어두운 곳을 밝힐 수 있다.","It can light up dark places.","可以照亮黑暗的地方","可以照亮黑暗的地方","अंधेरे स्थान को रोशन कर सकता है","暗いところを明るく照らすことができる。"
